,Open,Low,High,Close,DayOfWeek
2011-11-27,13700.0,13700.0,13700.0,13700.0,Sunday
2011-11-28,13440.0,13440.0,13440.0,13440.0,Monday
2011-11-29,13350.0,13350.0,13350.0,13350.0,Tuesday
2011-11-30,13400.0,13400.0,13400.0,13400.0,Wednesday
2011-12-01,13500.0,13500.0,13500.0,13500.0,Thursday
2011-12-02,13500.0,13500.0,13500.0,13500.0,Friday
2011-12-03,13650.0,13650.0,13650.0,13650.0,Saturday
2011-12-04,13610.0,13610.0,13610.0,13610.0,Sunday
2011-12-05,13610.0,13610.0,13610.0,13610.0,Monday
2011-12-06,13610.0,13610.0,13610.0,13610.0,Tuesday
2011-12-07,13650.0,13650.0,13650.0,13650.0,Wednesday
2011-12-08,13550.0,13550.0,13550.0,13550.0,Thursday
2011-12-09,13550.0,13550.0,13550.0,13550.0,Friday
2011-12-10,13450.0,13450.0,13450.0,13450.0,Saturday
2011-12-11,13450.0,13450.0,13450.0,13450.0,Sunday
2011-12-12,13530.0,13530.0,13530.0,13530.0,Monday
2011-12-13,13630.0,13630.0,13630.0,13630.0,Tuesday
2011-12-14,13770.0,13770.0,13770.0,13770.0,Wednesday
2011-12-15,13710.0,13710.0,13710.0,13710.0,Thursday
2011-12-16,13710.0,13710.0,13710.0,13710.0,Friday
2011-12-17,13840.0,13840.0,13840.0,13840.0,Saturday
2011-12-18,14080.0,14080.0,14080.0,14080.0,Sunday
2011-12-19,14500.0,14500.0,14500.0,14500.0,Monday
2011-12-20,15300.0,15300.0,15300.0,15300.0,Tuesday
2011-12-21,15150.0,15150.0,15150.0,15150.0,Wednesday
2011-12-22,14230.0,14230.0,14230.0,14230.0,Thursday
2011-12-23,14230.0,14230.0,14230.0,14230.0,Friday
2011-12-24,14350.0,14350.0,14350.0,14350.0,Saturday
2011-12-25,14800.0,14800.0,14800.0,14800.0,Sunday
2011-12-26,15250.0,15250.0,15250.0,15250.0,Monday
2011-12-27,15150.0,15150.0,15150.0,15150.0,Tuesday
2011-12-28,15200.0,15200.0,15200.0,15200.0,Wednesday
2011-12-29,15220.0,15220.0,15220.0,15220.0,Thursday
2011-12-30,15220.0,15220.0,15220.0,15220.0,Friday
2011-12-31,15550.0,15550.0,15550.0,15550.0,Saturday
2012-01-01,15900.0,15900.0,15900.0,15900.0,Sunday
2012-01-02,17400.0,17400.0,17400.0,17400.0,Monday
2012-01-03,16200.0,16200.0,16200.0,16200.0,Tuesday
2012-01-04,15800.0,15800.0,15800.0,15800.0,Wednesday
2012-01-05,15980.0,15980.0,15980.0,15980.0,Thursday
2012-01-06,15980.0,15980.0,15980.0,15980.0,Friday
2012-01-07,15970.0,15970.0,15970.0,15970.0,Saturday
2012-01-08,16550.0,16550.0,16550.0,16550.0,Sunday
2012-01-09,16900.0,16900.0,16900.0,16900.0,Monday
2012-01-10,16900.0,16900.0,16900.0,16900.0,Tuesday
2012-01-11,16920.0,16920.0,16920.0,16920.0,Wednesday
2012-01-12,16950.0,16950.0,16950.0,16950.0,Thursday
2012-01-13,16950.0,16950.0,16950.0,16950.0,Friday
2012-01-14,16950.0,16950.0,16950.0,16950.0,Saturday
2012-01-15,16950.0,16950.0,16950.0,16950.0,Sunday
2012-01-16,16900.0,16900.0,16900.0,16900.0,Monday
2012-01-17,17400.0,17400.0,17400.0,17400.0,Tuesday
2012-01-18,18200.0,18200.0,18200.0,18200.0,Wednesday
2012-01-19,18200.0,18200.0,18200.0,18200.0,Thursday
2012-01-20,18200.0,18200.0,18200.0,18200.0,Friday
2012-01-21,19000.0,19000.0,19000.0,19000.0,Saturday
2012-01-22,19000.0,19000.0,19000.0,19000.0,Sunday
2012-01-23,21000.0,21000.0,21000.0,21000.0,Monday
2012-01-24,21000.0,21000.0,21000.0,21000.0,Tuesday
2012-01-25,19000.0,19000.0,19000.0,19000.0,Wednesday
2012-01-26,17000.0,17000.0,17000.0,17000.0,Thursday
2012-01-27,17000.0,17000.0,17000.0,17000.0,Friday
2012-01-28,17700.0,17700.0,17700.0,17700.0,Saturday
2012-01-29,18300.0,18300.0,18300.0,18300.0,Sunday
2012-01-30,18300.0,18300.0,18300.0,18300.0,Monday
2012-01-31,18300.0,18300.0,18300.0,18300.0,Tuesday
2012-02-01,18300.0,18300.0,18300.0,18300.0,Wednesday
2012-02-02,18300.0,18300.0,18300.0,18300.0,Thursday
2012-02-03,18300.0,18300.0,18300.0,18300.0,Friday
2012-02-04,17750.0,17750.0,17750.0,17750.0,Saturday
2012-02-05,18500.0,18500.0,18500.0,18500.0,Sunday
2012-02-06,18800.0,18800.0,18800.0,18800.0,Monday
2012-02-07,18900.0,18900.0,18900.0,18900.0,Tuesday
2012-02-08,19200.0,19200.0,19200.0,19200.0,Wednesday
2012-02-09,19200.0,19200.0,19200.0,19200.0,Thursday
2012-02-10,19200.0,19200.0,19200.0,19200.0,Friday
