,Open,Low,High,Close,DayOfWeek,Is_Imputed,Daily_Return
2011-11-27,13700.0,13700.0,13700.0,13700.0,Sunday,False,
2011-11-28,13440.0,13440.0,13440.0,13440.0,Monday,False,-0.01897810218978102
2011-11-29,13350.0,13350.0,13350.0,13350.0,Tuesday,False,-0.006696428571428603
2011-11-30,13400.0,13400.0,13400.0,13400.0,Wednesday,False,0.0037453183520599342
2011-12-01,13500.0,13500.0,13500.0,13500.0,Thursday,False,0.00746268656716409
2011-12-02,13500.0,13500.0,13500.0,13500.0,Friday,True,0.0
2011-12-03,13650.0,13650.0,13650.0,13650.0,Saturday,False,0.011111111111111072
2011-12-04,13610.0,13610.0,13610.0,13610.0,Sunday,False,-0.00293040293040292
2011-12-05,13610.0,13610.0,13610.0,13610.0,Monday,True,0.0
2011-12-06,13610.0,13610.0,13610.0,13610.0,Tuesday,True,0.0
2011-12-07,13650.0,13650.0,13650.0,13650.0,Wednesday,False,0.0029390154298309934
2011-12-08,13550.0,13550.0,13550.0,13550.0,Thursday,False,-0.0073260073260073
2011-12-09,13550.0,13550.0,13550.0,13550.0,Friday,True,0.0
2011-12-10,13450.0,13450.0,13450.0,13450.0,Saturday,False,-0.0073800738007380184
2011-12-11,13450.0,13450.0,13450.0,13450.0,Sunday,False,0.0
2011-12-12,13530.0,13530.0,13530.0,13530.0,Monday,False,0.005947955390334547
2011-12-13,13630.0,13630.0,13630.0,13630.0,Tuesday,False,0.007390983000739038
2011-12-14,13770.0,13770.0,13770.0,13770.0,Wednesday,False,0.010271460014673606
2011-12-15,13710.0,13710.0,13710.0,13710.0,Thursday,False,-0.004357298474945481
2011-12-16,13710.0,13710.0,13710.0,13710.0,Friday,True,0.0
2011-12-17,13840.0,13840.0,13840.0,13840.0,Saturday,False,0.009482129832239172
2011-12-18,14080.0,14080.0,14080.0,14080.0,Sunday,False,0.01734104046242768
2011-12-19,14500.0,14500.0,14500.0,14500.0,Monday,False,0.029829545454545414
2011-12-20,15300.0,15300.0,15300.0,15300.0,Tuesday,False,0.05517241379310356
2011-12-21,15150.0,15150.0,15150.0,15150.0,Wednesday,False,-0.009803921568627416
2011-12-22,14230.0,14230.0,14230.0,14230.0,Thursday,False,-0.060726072607260706
2011-12-23,14230.0,14230.0,14230.0,14230.0,Friday,True,0.0
2011-12-24,14350.0,14350.0,14350.0,14350.0,Saturday,False,0.008432888264230609
2011-12-25,14800.0,14800.0,14800.0,14800.0,Sunday,False,0.03135888501742157
2011-12-26,15250.0,15250.0,15250.0,15250.0,Monday,False,0.030405405405405483
2011-12-27,15150.0,15150.0,15150.0,15150.0,Tuesday,False,-0.006557377049180357
2011-12-28,15200.0,15200.0,15200.0,15200.0,Wednesday,False,0.0033003300330032292
2011-12-29,15220.0,15220.0,15220.0,15220.0,Thursday,False,0.001315789473684159
2011-12-30,15220.0,15220.0,15220.0,15220.0,Friday,True,0.0
2011-12-31,15550.0,15550.0,15550.0,15550.0,Saturday,False,0.021681997371879147
2012-01-01,15900.0,15900.0,15900.0,15900.0,Sunday,False,0.022508038585209
2012-01-02,17400.0,17400.0,17400.0,17400.0,Monday,False,0.09433962264150941
2012-01-03,16200.0,16200.0,16200.0,16200.0,Tuesday,False,-0.06896551724137934
2012-01-04,15800.0,15800.0,15800.0,15800.0,Wednesday,False,-0.024691358024691357
2012-01-05,15980.0,15980.0,15980.0,15980.0,Thursday,False,0.0113924050632912
2012-01-06,15980.0,15980.0,15980.0,15980.0,Friday,True,0.0
2012-01-07,15970.0,15970.0,15970.0,15970.0,Saturday,False,-0.0006257822277847547
2012-01-08,16550.0,16550.0,16550.0,16550.0,Sunday,False,0.036318096430807856
2012-01-09,16900.0,16900.0,16900.0,16900.0,Monday,False,0.02114803625377637
2012-01-10,16900.0,16900.0,16900.0,16900.0,Tuesday,False,0.0
2012-01-11,16920.0,16920.0,16920.0,16920.0,Wednesday,False,0.0011834319526626835
2012-01-12,16950.0,16950.0,16950.0,16950.0,Thursday,False,0.0017730496453900457
2012-01-13,16950.0,16950.0,16950.0,16950.0,Friday,True,0.0
2012-01-14,16950.0,16950.0,16950.0,16950.0,Saturday,True,0.0
2012-01-15,16950.0,16950.0,16950.0,16950.0,Sunday,True,0.0
2012-01-16,16900.0,16900.0,16900.0,16900.0,Monday,False,-0.002949852507374673
2012-01-17,17400.0,17400.0,17400.0,17400.0,Tuesday,False,0.029585798816567976
2012-01-18,18200.0,18200.0,18200.0,18200.0,Wednesday,False,0.04597701149425282
2012-01-19,18200.0,18200.0,18200.0,18200.0,Thursday,False,0.0
2012-01-20,18200.0,18200.0,18200.0,18200.0,Friday,True,0.0
2012-01-21,19000.0,19000.0,19000.0,19000.0,Saturday,False,0.04395604395604402
2012-01-22,19000.0,19000.0,19000.0,19000.0,Sunday,True,0.0
2012-01-23,21000.0,21000.0,21000.0,21000.0,Monday,False,0.10526315789473695
2012-01-24,21000.0,21000.0,21000.0,21000.0,Tuesday,True,0.0
2012-01-25,19000.0,19000.0,19000.0,19000.0,Wednesday,False,-0.09523809523809523
